"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"90",25,35,30,20,10,10,0.7,9,10,0.149416875676159,0.0311037941521673,10.4720922552835,3.2892913216308,8.69004945795227,0.211188840527821,0.127479275258252,18.1594852471718
"135",25,35,30,20,15,10,0.7,9,15,0.149119204623667,0.0311037941521673,10.4512295601608,3.2892913216308,13.6687347466673,0.332298968372353,0.127479275258252,18.1524389515049
"180",25,35,30,20,20,10,0.7,9,20,0.149101106749023,0.0311037941521673,10.449961145117,3.2892913216308,18.6668320240884,0.453816763137105,0.127479275258252,18.1748414517109
"120",25,35,30,20,10,15,0.7,12,10,0.14730063442472,0.0114361350337447,8.15893663992868,4.08510919730043,8.69004945795227,0.211714275988963,0.1615356534757,15.4036406698564
"1801",25,35,30,20,15,15,0.7,12,15,0.147007179387038,0.0114361350337447,8.1426822560391,4.08510919730043,13.6687347466673,0.333123788736289,0.1615356534757,15.3992535278233
"240",25,35,30,20,20,15,0.7,12,20,0.146989337838654,0.0114361350337447,8.14169401818532,4.08510919730043,18.6668320240884,0.45494304986635,0.1615356534757,15.4218743527355
"150",25,35,30,20,10,20,0.7,15,10,0.142111261999219,0.0044439388319097,7.05117410760207,4.53338642264948,8.69004945795227,0.213002730361344,0.180529613227433,13.9756420814711
"225",25,35,30,20,15,20,0.7,15,15,0.141828145324889,0.0044439388319097,7.03712662863817,4.53338642264948,13.6687347466673,0.335146384245988,0.180529613227433,13.9732289055629
"300",25,35,30,20,20,20,0.7,15,20,0.141810932330751,0.0044439388319097,7.03627256670899,4.53338642264949,18.6668320240884,0.457704890602597,0.180529613227433,13.99610866628
